Country,Name,Sport,Event,Date
USA,"Jack Alexy, Hunter Armstrong, Caeleb Dressel, Chris Guiliano, Ryan Held, Matt King",Swimming,Men's 4 × 100 m freestyle relay,7/27/2024
USA,Lee Kiefer,Fencing,Women's foil,7/28/2024
USA,Torri Huske,Swimming,Women's 100 m butterfly,7/28/2024
USA,"Simone Biles, Jade Carey, Jordan Chiles, Sunisa Lee, Hezly Rivera",Gymnastics,Women's artistic team all-around,7/30/2024
USA,Katie Ledecky,Swimming,Women's 1500 m freestyle,7/31/2024
USA,"Jacqueline Dubrovich, Lee Kiefer, Lauren Scruggs, Maia Weintraub",Fencing,Women's team foil,8/1/2024
USA,Simone Biles,Gymnastics,Women's artistic individual all-around,8/1/2024
USA,"Justin Best, Liam Corrigan, Michael Grady, Nick Mead",Rowing,Men's four,8/1/2024
USA,Kate Douglass,Swimming,Women's 200 m breaststroke,8/1/2024
USA,Ryan Crouser,Athletics,Men's shot put,8/3/2024
USA,Simone Biles,Gymnastics,Women's vault,8/3/2024
USA,Vincent Hancock,Shooting,Men's skeet,8/3/2024
USA,Katie Ledecky,Swimming,Women's 800 m freestyle,8/3/2024
USA,"Caeleb Dressel, Nic Fink, Torri Huske, Ryan Murphy, Regan Smith, Charlie Swanson, Gretchen WalshAbbey Weitzeil",Swimming,Mixed 4 × 100 m medley relay,8/3/2024
USA,Noah Lyles,Athletics,Men's 100 m,8/4/2024
USA,Kristen Faulkner,Cycling,Women's individual road race,8/4/2024
USA,Scottie Scheffler,Golf,Men's individual,8/4/2024
USA,Bobby Finke,Swimming,Men's 1500 m freestyle,8/4/2024
USA,"Katharine Berkoff, Kate Douglass, Torri Huske Lilly King Alex Shackell, Regan Smith Gretchen Walsh Emma Weber",Swimming,Women's 4 × 100 m medley relay,8/4/2024
USA,Valarie Allman,Athletics,Women's discus throw,8/5/2024
USA,Caroline Marks,Surfing,Women's shortboard,8/5/2024
USA,Cole Hocker,Athletics,Men's 1500 m,8/6/2024
USA,Gabby Thomas,Athletics,Women's 200 m,8/6/2024
USA,Amit Elor,Wrestling,Women's freestyle 68 kg,8/6/2024
USA,Quincy Hall,Athletics,Men's 400 m,8/7/2024
USA,"Chloé Dygert, Kristen Faulkner, Jennifer Valente, Lily Williams",Cycling,Women's team pursuit,8/7/2024
USA,Sarah Hildebrandt,Wrestling,Women's freestyle 50 kg,8/7/2024
USA,Grant Holloway,Athletics,Men's 110 m hurdles,8/8/2024
USA,Sydney McLaughlin-Levrone,Athletics,Women's 400 m hurdles,8/8/2024
USA,Tara Davis-Woodhall,Athletics,Women's long jump,8/8/2024
USA,Rai Benjamin,Athletics,Men's 400 m hurdles,8/9/2024
USA,"Melissa Jefferson, Sha'Carri Richardson, Twanisha Terry, Gabby Thomas",Athletics,Women's 4 x 100 m relay,8/9/2024
USA,Olivia Reeves,Weightlifting,Women's 71 kg,8/9/2024
USA,Christopher BaileyRai BenjaminBryce DeadmonVernon NorwoodQuincy Wilson,Athletics,Men's 4 × 400 m relay,8/10/2024
USA,Masai Russell,Athletics,Women's 100 m hurdles,8/10/2024
USA,Kaylyn Brown[a]Aaliyah Butler[a]Quanera Hayes[a]Alexis HolmesShamier LittleSydney McLaughlin-LevroneGabby Thomas,Athletics,Women's 4 × 400 m relay,8/10/2024
USA,United States men's national basketball teamBam AdebayoDevin BookerStephen CurryAnthony DavisKevin DurantAnthony EdwardsJoel EmbiidTyrese HaliburtonJrue HolidayLeBron JamesJayson TatumDerrick White,Basketball,Men's tournament,8/10/2024
USA,United States women's national soccer teamKorbin AlbertCroix BethuneSam CoffeyTierna DavidsonCrystal DunnEmily FoxNaomi GirmaLindsey HoranCasey KruegerRose LavelleCasey MurphyAlyssa NaeherJenna NighswongerTrinity RodmanEmily SamsJaedyn ShawSophia SmithEmily SonnettMallory SwansonLynn Williams,Football,Women's tournament,8/10/2024
