Country,Medal,Name,Sport,Event,Date
Australia,Gold,Ariarne Titmus,Swimming,Women's 400 m freestyle,7/27/2024
Australia,Silver,Ariarne Titmus,Swimming,Women's 200 m freestyle,7/29/2024
Australia,Silver,Ariarne Titmus,Swimming,Women's 800 m freestyle,8/3/2024
Australia,Gold,Arisa Trew,Skateboarding,Women's park,8/6/2024
Australia,Gold,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Swimming,Women's 4 × 100 m freestyle relay,7/27/2024
Australia,Gold,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Swimming,Women's 4 × 200 m freestyle relay,8/1/2024
Australia,Gold,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Tennis,Men's doubles,8/3/2024
Australia,Gold,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Cycling,Men's team pursuit,8/7/2024
Australia,Silver,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Swimming,Men's 4 × 100 m freestyle relay,7/27/2024
Australia,Silver,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Swimming,Women's 4 × 100 m medley relay,8/4/2024
Australia,Silver,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Canoeing,Men's K-4 500 m,8/8/2024
Australia,Silver,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Water polo,Women's tournament,8/10/2024
Australia,Bronze,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Swimming,Men's 4 × 200 m freestyle relay,7/30/2024
Australia,Bronze,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Rowing,Women's pair,8/2/2024
Australia,Bronze,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Swimming,Mixed 4 × 100 m medley relay,8/3/2024
Australia,Bronze,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Cycling,Men's team sprint,8/6/2024
Australia,Bronze,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Athletics,Mixed marathon walk relay,8/7/2024
Australia,Bronze,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Canoeing,Men's K-2 500 m,8/9/2024
Australia,Bronze,"Bronte Campbell
Meg Harris
Shayna Jack
Emma McKeon
Mollie O'Callaghan
Olivia Wunsch",Basketball,Women's tournament,8/11/2024
Australia,Bronze,Caitlin Parker,Boxing,Women's 75 kg,8/8/2024
Australia,Gold,Cameron McEvoy,Swimming,Men's 50 m freestyle,8/2/2024
Australia,Bronze,Charlie Senior,Boxing,Men's 57 kg,8/8/2024
Australia,Silver,Chris Burton,Equestrian,Individual eventing,7/29/2024
Australia,Bronze,Eleanor Patterson,Athletics,Women's high jump,8/4/2024
Australia,Silver,Elijah Winnington,Swimming,Men's 400 m freestyle,7/27/2024
Australia,Gold,Grace Brown,Cycling,Women's road time trial,7/27/2024
Australia,Silver,Grae Morris,Sailing,Men's iQFoil,8/3/2024
Australia,Silver,Jack Robinson,Surfing,Men's shortboard,8/6/2024
Australia,Bronze,Jemima Montag,Athletics,Women's 20 km walk,8/1/2024
Australia,Gold,Jessica Fox,Canoeing,Women's slalom K-1,7/28/2024
Australia,Gold,Jessica Fox,Canoeing,Women's slalom C-1,7/31/2024
Australia,Silver,Jessica Hull,Athletics,Women's 1500 m,8/10/2024
Australia,Gold,Kaylee McKeown,Swimming,Women's 100 m backstroke,7/30/2024
Australia,Gold,Kaylee McKeown,Swimming,Women's 200 m backstroke,8/2/2024
Australia,Bronze,Kaylee McKeown,Swimming,Women's 200 m individual medley,8/3/2024
Australia,Gold,Keegan Palmer,Skateboarding,Men's park,8/7/2024
Australia,Silver,Kyle Chalmers,Swimming,Men's 100 m freestyle,7/31/2024
Australia,Silver,Maddison Keeney,Diving,Women's 3 m springboard,8/9/2024
Australia,Bronze,Matthew Denny,Athletics,Men's discus throw,8/7/2024
Australia,Bronze,Matthew Glaetzer,Cycling,Men's keirin,8/11/2024
Australia,Silver,Matthew Richardson,Cycling,Men's sprint,8/9/2024
Australia,Silver,Matthew Richardson,Cycling,Men's keirin,8/11/2024
Australia,Gold,Matthew Wearn,Sailing,Men's Laser,8/7/2024
Australia,Silver,Meg Harris,Swimming,Women's 50 m freestyle,8/4/2024
Australia,Silver,Moesha Johnson,Swimming,Women's marathon 10km,8/8/2024
Australia,Gold,Mollie O'Callaghan,Swimming,Women's 200 m freestyle,7/29/2024
Australia,Bronze,Natalya Diehm,Cycling,Women's BMX freestyle,7/31/2024
Australia,Silver,Nicola Olyslagers,Athletics,Women's high jump,8/4/2024
Australia,Gold,Nina Kennedy,Athletics,Women's pole vault,8/7/2024
Australia,Gold,Noemie Fox,Canoeing,Women's kayak cross,8/5/2024
Australia,Bronze,Penny Smith,Shooting,Women's trap,7/31/2024
Australia,Gold,Saya Sakakibara,Cycling,Women's BMX racing,8/2/2024
Australia,Silver,Zac Stubblety-Cook,Swimming,Men's 200 m breaststroke,7/31/2024
Belgium,Silver,Bashir Abdi,Athletics,Men's marathon,8/10/2024
Belgium,Bronze,Fabio Van den Bossche,Cycling,Men's omnium,8/8/2024
Belgium,Bronze,Gabriella Willems,Judo,Women's 70 kg,7/31/2024
Belgium,Bronze,Lotte Kopecky,Cycling,Women's road race,8/4/2024
Belgium,Gold,Nafissatou Thiam,Athletics,Women's heptathlon,8/9/2024
Belgium,Bronze,Noor Vidts,Athletics,Women's heptathlon,8/9/2024
Belgium,Gold,Remco Evenepoel,Cycling,Men's road time trial,7/27/2024
Belgium,Gold,Remco Evenepoel,Cycling,Men's road race,8/3/2024
Belgium,Bronze,Sarah Chaâri,Taekwondo,Women's 67 kg,8/9/2024
Belgium,Bronze,Wout van Aert,Cycling,Men's road time trial,7/27/2024
China,,Cao Liguo,Wrestling,Men's Greco-Roman 60 kg,8/6/2024
China,,Cao Yuan,Diving,Men's 10 m platform,8/10/2024
China,,Chang Yani,Diving,Women's 3 m springboard,8/9/2024
China,,Chang Yuan,Boxing,Women's 54 kg,8/8/2024
China,,Chen Meng,Table tennis,Women's singles,8/3/2024
China,,Chen Yiwen,Diving,Women's 3 m springboard,8/9/2024
China,,Chen Yuxi,Diving,Women's 10 m platform,8/6/2024
China,,Deng Lijuan,Sport climbing,Women's speed,8/7/2024
China,,Deng Yawen,Cycling,Women's BMX freestyle,7/31/2024
China,,Fan Zhendong,Table tennis,Men's singles,8/4/2024
China,,Feng Bin,Athletics,Women's discus throw,8/5/2024
China,,Feng Ziqi,Wrestling,Women's freestyle 50 kg,8/7/2024
China,,Guo Qing,Taekwondo,Women's 49 kg,8/7/2024
China,,He Bingjiao,Badminton,Women's singles,8/5/2024
China,,Hong Kexin,Wrestling,Women's freestyle 57 kg,8/9/2024
China,,Hou Zhihui,Weightlifting,Women's 49 kg,8/7/2024
China,,Huang Yuting,Shooting,Women's 10 m air rifle,7/29/2024
China,,"Huang Yuting
Sheng Lihao",Shooting,Mixed 10 m air rifle team,7/27/2024
China,,"Huang Yuting
Sheng Lihao",Diving,Women's synchronized 3 m springboard,7/27/2024
China,,"Huang Yuting
Sheng Lihao",Diving,Men's synchronized 10 m platform,7/29/2024
China,,"Huang Yuting
Sheng Lihao",Table tennis,Mixed doubles,7/30/2024
China,,"Huang Yuting
Sheng Lihao",Diving,Women's synchronized 10 m platform,7/31/2024
China,,"Huang Yuting
Sheng Lihao",Diving,Men's synchronized 3 m springboard,8/2/2024
China,,"Huang Yuting
Sheng Lihao",Badminton,Mixed doubles,8/2/2024
China,,"Huang Yuting
Sheng Lihao",Badminton,Women's doubles,8/3/2024
China,,"Huang Yuting
Sheng Lihao",Swimming,Men's 4 × 100 m medley relay,8/4/2024
China,,"Huang Yuting
Sheng Lihao",Artistic swimming,Team event,8/7/2024
China,,"Huang Yuting
Sheng Lihao",Canoeing,Women's C-2 500 m,8/9/2024
China,,"Huang Yuting
Sheng Lihao",Table tennis,Men's team,8/9/2024
China,,"Huang Yuting
Sheng Lihao",Gymnastics,Women's rhythmic group all-around,8/10/2024
China,,"Huang Yuting
Sheng Lihao",Table tennis,Women's team,8/10/2024
China,,"Huang Yuting
Sheng Lihao",Artistic swimming,Duet,8/10/2024
China,,"Huang Yuting
Sheng Lihao",Archery,Women's team,7/28/2024
China,,"Huang Yuting
Sheng Lihao",Gymnastics,Men's artistic team all-around,7/29/2024
China,,"Huang Yuting
Sheng Lihao",Tennis,Mixed doubles,8/2/2024
China,,"Huang Yuting
Sheng Lihao",Badminton,Women's doubles,8/3/2024
China,,"Huang Yuting
Sheng Lihao",Swimming,Mixed 4 × 100 m medley relay,8/3/2024
China,,"Huang Yuting
Sheng Lihao",Badminton,Men's doubles,8/4/2024
China,,"Huang Yuting
Sheng Lihao",Field hockey,Women's tournament,8/9/2024
China,,"Huang Yuting
Sheng Lihao",Swimming,Women's 4 × 100 m freestyle relay,7/27/2024
China,,"Huang Yuting
Sheng Lihao",Swimming,Women's 4 × 200 m freestyle relay,8/1/2024
China,,"Huang Yuting
Sheng Lihao",Swimming,Women's 4 × 100 m medley relay,8/4/2024
China,,"Huang Yuting
Sheng Lihao",Shooting,Mixed skeet team,8/5/2024
China,,Li Fabin,Weightlifting,Men's 61 kg,8/7/2024
China,,Li Qian,Boxing,Women's 75 kg,8/10/2024
China,,Li Wenwen,Weightlifting,Women's +81 kg,8/11/2024
China,,Li Yuehong,Shooting,Men's 25 m rapid fire pistol,8/5/2024
China,,Liang Yushuai,Taekwondo,Men's 68 kg,8/8/2024
China,,Lin Xiyu,Golf,Women's individual,8/10/2024
China,,Liu HaoJi Bowen,Canoeing,Men's C-2 500 m,8/8/2024
China,,Liu Huanhua,Weightlifting,Men's 102 kg,8/10/2024
China,,Liu Qingyi,Breaking,B-Girls,8/9/2024
China,,Liu Yang,Gymnastics,Men's rings,8/4/2024
China,,Liu Yukun,Shooting,Men's 50 m rifle three positions,8/1/2024
China,,Luo Shifang,Weightlifting,Women's 59 kg,8/8/2024
China,,Ma Zhenzhao,Judo,Women's 78 kg,8/1/2024
China,,Meng Lingzhe,Wrestling,Men's Greco-Roman 130 kg,8/6/2024
